species	input	readlen_bp	accession	outcome
Solanum_lycopersicum	modern	91.0	DRR040154	assembled
Sesamum_indicum	old	96	ERR710504	assembled
Solanum_lycopersicum	old	100	SRR1572286	assembled
Glycine_max	old	100	SRR1463414	assembled
Gossypium_hirsutum	old	101	SRR1580594	assembled
Glycine_max	modern	149.7	SRR11929797	assembled
Helianthus_annuus	modern	150.0	SRR8888860	assembled
Sesamum_indicum	modern	150.0	DRR806862	assembled
Beta_vulgaris	modern	150.0	SRR29552944	assembled
Vitis_vinifera	modern	151.0	ERR15002908	assembled
Citrus_sinensis	modern	151.0	SRR33854505	assembled
Oryza_sativa	modern	250.0	DRR160520	assembled
Oryza_sativa	old	73	ERR009651	not_assembled
Helianthus_annuus	old	91	SRR5160794	not_assembled
Musa_acuminata	modern	100.0	SRR25581090	not_assembled
Citrus_sinensis	old	100	ERR466624	not_assembled
Vitis_vinifera	old	125	SRR4210153	not_assembled
Beta_vulgaris	old	144	SRR6315553	not_assembled
Musa_acuminata	old	309	SRR6489399	not_assembled
