Poales	Oryza sativa	SRR13280199	2153	ERR009651	150
Zingiberales	Musa acuminata	SRR23425448	1947	SRR6489399	330
Solanales	Solanum lycopersicum	SRR29015864	163	SRR1572286	164
Asterales	Helianthus annuus	SRR14782853	3081	SRR5160794	164
Lamiales	Sesamum indicum	NA	NA	ERR710504	157
Caryophyllales	Beta vulgaris	SRR37382116	1619	SRR6315553	180
Vitales	Vitis vinifera	ERR17353932	1282	SRR4210153	151
Fabales	Glycine max	SRR38619744	11063	SRR1463414	215
Malvales	Gossypium hirsutum	SRR38842326	966	SRR1580594	164
Sapindales	Citrus sinensis	SRR27236983	6245	ERR466624	214
DONE_SELECT
