set	species	type	num_reads	avg_len	N50	Q30pct	AvgQual
S1_cross	Actinidia_chinensis	Illumina	3800000	85.3	86	94	22.04
S1_cross	Actinidia_chinensis	HiFi	120000	9319.5	10504	98	29.34
S1_cross	Beta_vulgaris	Illumina	5000000	150.0	150	93	26.12
S1_cross	Beta_vulgaris	HiFi	120000	17180.9	17136	95	26.27
S1_cross	Citrus_sinensis	Illumina	5000000	151.0	151	89	23.91
S1_cross	Citrus_sinensis	HiFi	120000	19874.9	19676	96	27.13
S1_cross	Fragaria_vesca	Illumina	4279799	99.9	101	94	28.80
S1_cross	Fragaria_vesca	HiFi	120000	11091.7	12407	96	26.32
S1_cross	Glycine_max	Illumina	5000000	149.7	150	94	27.13
S1_cross	Glycine_max	HiFi	120000	15118.5	15622	95	26.18
S1_cross	Helianthus_annuus	Illumina	5000000	150.0	150	91	25.60
S1_cross	Helianthus_annuus	HiFi	120000	21682.9	21826	100	30.00
S1_cross	Musa_acuminata	Illumina	5000000	100.0	100	100	30.00
S1_cross	Musa_acuminata	HiFi	120000	13199.5	13023	98	29.73
S1_cross	Oryza_sativa	Illumina	5000000	250.0	250	95	28.48
S1_cross	Oryza_sativa	HiFi	120000	19172.7	20215	100	40.00
S1_cross	Populus_trichocarpa	Illumina	5000000	151.0	151	92	25.54
S1_cross	Populus_trichocarpa	HiFi	120000	14464.9	14706	97	28.01
S1_cross	Sesamum_indicum	Illumina	5000000	150.0	150	95	28.40
S1_cross	Sesamum_indicum	HiFi	120000	17072.3	16969	96	27.23
S1_cross	Solanum_lycopersicum	Illumina	5000000	91.0	91	98	25.71
S1_cross	Solanum_lycopersicum	HiFi	120000	19067.9	19051	96	26.75
S1_cross	Vitis_vinifera	Illumina	4745372	151.0	151	79	21.97
S1_cross	Vitis_vinifera	HiFi	120000	7595.4	9005	95	26.08
S2_same	Beta_vulgaris	Illumina	5000000	150.0	150	91	25.60
S2_same	Beta_vulgaris	HiFi	120000	18205.3	18246	95	26.36
S2_same	Citrus_sinensis	Illumina	5000000	148.9	150	97	31.05
S2_same	Citrus_sinensis	HiFi	120000	13798.9	13802	95	25.72
S2_same	Lindera_aggregata	Illumina	5000000	150.0	150	96	29.45
S2_same	Lindera_aggregata	HiFi	120000	17904.5	17878	93	24.84
S2_same	Musa_acuminata	Illumina	5000000	149.1	151	100	30.00
S2_same	Musa_acuminata	HiFi	num_seqs	avg_len	N50	Q30(%)	AvgQual
S2_same	Oryza_sativa	Illumina	5000000	100.0	100	79	13.50
S2_same	Oryza_sativa	HiFi	120000	18663.6	19579	95	26.31
S2_same	Populus_trichocarpa	Illumina	5000000	151.0	151	89	23.99
S2_same	Populus_trichocarpa	HiFi	120000	15715.5	15884	97	27.40
S2_same	Sesamum_indicum	Illumina	5000000	150.0	150	94	27.04
S2_same	Sesamum_indicum	HiFi	120000	17072.3	16969	96	27.23
QC DONE
